date,sleep_hrs,sleep_score,sleep_deep_min,sleep_rem_min,sleep_awake_min,hrv_last_night_avg,hrv_weekly_avg,hrv_baseline_low,hrv_baseline_high,hrv_status,rhr_bpm,body_battery_low,body_battery_high,training_readiness_score,training_readiness_limiting_factor,training_status,acute_load,chronic_load,acwr,recovery_hrs,steps,avg_stress,max_stress
2026-05-25,6.57,74,131,61,1,33,33,37,,LOW,68.0,5,5,49,,,,,,,1201,43,98
2026-05-26,7.67,67,82,63,80,36,31,37,,LOW,65.0,5,42,45,,,,,,,86,20,63
2026-05-27,7.77,73,76,42,38,45,31,37,,LOW,64.0,9,54,63,,,,,,,291,20,89
2026-05-28,8.45,78,85,95,27,43,31,37,,LOW,60.0,16,75,69,,,,,,,440,19,86
2026-05-31,6.13,65,68,60,39,32,37,36,,BALANCED,64.0,5,57,64,,,,,,,108,28,87
2026-06-01,5.45,54,36,19,14,31,37,35,,BALANCED,66.0,5,43,47,,,,,,,311,33,99
2026-06-02,6.35,72,52,59,32,37,37,35,,BALANCED,61.0,5,32,63,,,,,,,193,22,89
2026-06-13,8.28,82,74,99,31,44,,35,,NONE,60.0,16,93,93,,,,,,,0,18,49
2026-06-14,4.23,33,96,,16,19,35,35,,BALANCED,66.0,6,78,39,,,,,,,280,82,99
2026-06-17,7.75,82,91,102,33,45,38,35,,BALANCED,59.0,20,82,94,,,,,,,147,14,90
2026-06-18,5.47,48,61,47,103,48,40,35,,BALANCED,59.0,24,94,60,,,,,,,81,16,90
2026-06-23,5.87,69,60,67,37,40,39,34,,BALANCED,60.0,21,40,72,,,,,,,163,16,83
2026-06-24,6.33,62,100,22,53,48,39,34,,BALANCED,58.0,17,81,72,,,,,,,51,12,90
2026-06-25,1.55,15,35,,33,16,32,34,,UNBALANCED,66.0,5,86,15,,,,,,,39,85,99
2026-06-28,5.72,67,76,70,33,34,34,35,,UNBALANCED,60.0,18,79,72,,,,,,,109,25,90
2026-07-01,7.32,65,76,69,68,46,37,34,,BALANCED,57.0,16,96,,,,,,,,170,18,89
2026-07-02,6.03,68,112,73,51,47,43,33,,BALANCED,59.0,13,80,81,,,,,,,417,19,93
2026-07-03,2.42,18,50,,47,21,39,33,,BALANCED,63.0,8,75,14,,,,,,,1359,74,99
2026-07-04,6.95,74,107,75,28,40,40,33,,BALANCED,63.0,5,8,33,,,,,,,21,27,74
2026-07-08,6.98,62,42,25,57,39,32,33,,UNBALANCED,63.0,13,64,49,,,,,,,259,20,79
2026-07-09,6.87,66,114,28,32,46,32,33,,UNBALANCED,60.0,19,66,54,,,,,,,50,15,61
2026-07-10,8.6,80,95,90,33,51,37,33,,BALANCED,56.0,26,90,77,,,,,,,49,13,52
2026-07-12,6.58,68,43,46,43,42,41,32,,BALANCED,59.0,26,84,73,,,,,,,85,21,90
2026-07-13,6.05,69,93,50,26,38,41,32,,BALANCED,62.0,8,78,76,,,,,,,106,23,75
2026-07-14,6.53,71,63,61,40,46,43,32,,BALANCED,58.0,10,50,72,,,,,,,175,15,53
2026-07-15,6.95,49,85,55,118,42,44,32,,BALANCED,59.0,14,77,55,,,,,,,171,21,86
2026-07-17,7.18,67,76,93,48,44,43,32,,BALANCED,60.0,10,75,81,,,,,,,46,19,83
2026-07-20,5.6,67,60,51,13,44,42,32,,BALANCED,56.0,9,78,73,,,,,,,392,18,87
2026-07-22,6.77,69,99,72,62,42,42,32,,BALANCED,59.0,20,74,83,,,,,,,75,18,83
