id,source,title,url,author,posted_at,hn_score,hn_comments,fetched_at
npr:16b7e87524a2,npr,"In Georgia, Republican primary for governor goes to a runoff between Trump backers",https://www.npr.org/2026/05/19/nx-s1-5823613/georgia-primaries-elections-governor-senate,Sarah Kallis,2026-05-20T05:45:17+00:00,,,2026-05-20T02:16:38+00:00
npr:80bbffc7a2f7,npr,U.S. government to drop tax claims against Trump in broadening of IRS settlement,https://www.npr.org/2026/05/19/g-s1-122938/irs-trump-settlement-tax-returns-audit,The Associated Press,2026-05-20T05:20:30+00:00,,,2026-05-20T02:16:38+00:00
npr:9aafdd0269f6,npr,"Endorsed by Trump, Ed Gallrein defeats Rep. Thomas Massie in GOP House primary",https://www.npr.org/2026/05/19/nx-s1-5827183/massie-gallrein-kentucky-race-results-trump,Sylvia Goodman,2026-05-20T04:57:20+00:00,,,2026-05-20T02:16:38+00:00
npr:63e2a06b2031,npr,'Taiwan Travelogue' wins the 2026 International Booker Prize,https://www.npr.org/2026/05/19/nx-s1-5823677/2026-booker-prize-winner-taiwan-travelogue,Ivy Buck,2026-05-20T02:31:47+00:00,,,2026-05-20T02:16:38+00:00
npr:259ba2f537de,npr,Trump endorses Ken Paxton over incumbent John Cornyn in Texas Senate primary runoff,https://www.npr.org/2026/05/19/nx-s1-5736175/trump-endorses-ken-paxton-texas-senate,Stephen Fowler,2026-05-19T21:53:41+00:00,,,2026-05-20T02:16:38+00:00
npr:579589bab68c,npr,Minnesota becomes first state to ban prediction markets,https://www.npr.org/2026/05/19/nx-s1-5821265/minnesota-ban-prediction-markets,Bobby Allyn,2026-05-19T21:28:32+00:00,,,2026-05-20T02:16:38+00:00
npr:532a080d194b,npr,States sue over new student loan limits on certain nursing and healthcare degrees,https://www.npr.org/2026/05/19/nx-s1-5826688/lawsuit-student-loans-nursing-healthcare-graduate-degree,Cory Turner,2026-05-19T21:19:01+00:00,,,2026-05-20T02:16:38+00:00
npr:f1d7ec33774f,npr,Can't keep a habit? This comic shares a proven formula to make it stick,https://www.npr.org/2026/05/19/nx-s1-5825984/cant-keep-a-habit-this-comic-shares-a-proven-formula-to-make-it-stick,Marielle Segarra,2026-05-19T21:19:00+00:00,,,2026-05-20T02:16:38+00:00
npr:61d6fb264b05,npr,A study investigates: Did the abrupt end of USAID have an impact on violence?,https://www.npr.org/2026/05/19/g-s1-122281/u-s-aid-usaid-trump-violence,Ari Daniel,2026-05-19T19:12:37+00:00,,,2026-05-20T02:16:38+00:00
npr:fb8ec837338b,npr,"Israel's trying to expel a whole Palestinian district in East Jerusalem, activists say",https://www.npr.org/2026/05/19/nx-s1-5823861/israel-palestinians-east-jerusalem,Eleanor Beardsley,2026-05-19T18:20:36+00:00,,,2026-05-20T02:16:38+00:00
